recordingId,trackId,initialFrame,finalFrame,numFrames,startXCenter,startYCenter,endXCenter,endYCenter,startLaneId,endLaneId,width,length,class
001,65,772,886,45,56.1403,44.0153,67.0000,47.0951,13,12,1.2844,2.2367,motor
001,66,791,829,39,57.9502,44.3179,61.9664,45.2620,13,13,1.0245,2.2810,car
001,67,796,810,15,18.3510,-36.3184,18.8111,-35.6446,-1,-1,0.7912,0.9443,pedestrian
001,68,812,1313,476,-13.2217,28.0076,-20.4742,-38.1357,2,4,0.8577,1.4561,motor
001,69,821,1363,533,13.5243,-43.9618,71.0871,49.4022,-1,12,1.0048,1.4023,motor
001,70,833,834,2,30.8456,-14.2967,30.7572,-14.1408,11,2,1.0000,1.2000,motor
001,71,861,1399,539,-70.4258,47.7392,-15.5123,-44.4150,-1,4,1.5409,3.6306,car
001,72,862,902,41,65.7928,46.5996,70.8209,48.9690,12,12,1.0181,2.4277,car
001,73,873,874,2,-20.9086,30.1764,-20.9606,30.1764,9,9,0.6644,0.9795,pedestrian
001,74,900,902,3,36.4262,-4.3984,36.4814,-4.1610,11,11,0.9016,1.1483,pedestrian
001,75,909,1192,267,14.6207,-42.5077,28.5298,-17.4080,-1,2,0.7661,1.3009,motor
001,76,930,1468,539,-71.0424,47.7734,-15.5589,-44.3612,-1,4,1.4509,3.5418,car
001,77,950,1306,357,51.6043,48.0925,-51.8519,48.3740,7,-1,1.4904,3.6241,car
001,78,950,952,3,24.1520,-30.0939,24.2147,-30.0502,11,11,0.6901,1.0563,pedestrian
001,79,976,1013,38,42.1625,6.2722,44.9938,11.4119,11,11,0.8223,1.1049,pedestrian
001,80,1088,1088,1,50.6899,21.7034,50.6899,21.7034,11,11,1.4006,1.6105,pedestrian
001,81,1102,1513,412,-69.6595,47.7873,-14.1895,-44.3824,-1,8,1.5691,4.0819,car
001,82,1104,1381,253,-70.8805,45.7988,-43.7700,17.2574,3,3,0.9919,1.1369,motor
001,83,1146,1203,58,55.3297,29.6492,60.2525,36.8155,11,11,0.9527,1.1316,motor
001,84,1187,1203,17,-19.5023,37.4521,-19.4985,37.4494,6,6,1.2011,1.4670,car
001,85,1191,1201,11,36.5764,14.7779,36.5776,14.7750,-1,-1,1.9694,6.4879,van
001,86,1235,1849,615,-69.6928,47.1261,-16.0004,-43.5327,-1,4,2.0233,4.9174,van
001,87,1286,1286,1,36.5676,14.9216,36.5676,14.9216,-1,-1,1.9397,6.5204,van
001,88,1310,1846,537,-70.6085,47.7283,-12.6994,-44.4402,-1,8,1.3873,3.3403,car
001,89,1311,1313,3,12.4632,-23.2637,12.4627,-23.2645,1,1,0.8239,1.5496,car
001,90,1330,1377,48,39.0318,1.8562,43.8706,11.1444,12,12,0.7608,1.2229,motor
001,91,1335,1565,231,45.0165,47.0251,7.8486,33.8128,7,-1,0.8125,1.2381,motor
001,92,1413,1676,172,-42.1281,13.7615,-32.6672,-9.8996,3,3,0.8106,1.2930,motor
001,93,1415,1935,521,-70.5375,47.8017,-15.7145,-44.4010,-1,4,1.5517,3.6611,car
001,94,1437,1594,158,50.3041,23.5843,72.3056,49.4950,12,12,0.9896,1.1991,motor
001,95,1495,2180,686,10.4772,-44.0983,-52.9217,48.9376,14,-1,1.4969,3.5205,car
001,96,1523,1526,4,36.4295,14.7754,36.5682,14.7790,-1,-1,1.8788,6.3754,van
