dataset_id,version,raw_object_id,final_object_id,class_name_mode,start_frame,end_frame,total_frames,mean_confidence,is_kept,is_filtered,filter_type,filter_reason,fragmentation_group_id,quality_score
cao_qiao_001,moving_filtered,100076,,motor,565,672,21,0.6536,false,true,missing_ratio_filter,missing_ratio_exceeded,,13.7251
cao_qiao_001,moving_filtered,100077,16,motor,574,1559,921,0.6050,true,false,,,,557.2113
cao_qiao_001,moving_filtered,100083,,motor,622,902,75,0.4396,false,true,missing_ratio_filter,missing_ratio_exceeded,,32.9730
cao_qiao_001,moving_filtered,100084,,pedestrian,631,693,12,0.5070,false,true,missing_ratio_filter,missing_ratio_exceeded,,6.0835
cao_qiao_001,moving_filtered,100086,,pedestrian,644,732,10,0.4282,false,true,missing_ratio_filter,missing_ratio_exceeded,,4.2820
cao_qiao_001,moving_filtered,100094,,pedestrian,736,736,1,0.4680,false,true,short_track_filter,track_duration_too_short,,0.4680
cao_qiao_001,moving_filtered,100095,20,motor,742,1608,801,0.5501,true,false,,,,440.6222
cao_qiao_001,moving_filtered,100099,,motor,772,886,38,0.6210,false,true,missing_ratio_filter,missing_ratio_exceeded,,23.5972
cao_qiao_001,moving_filtered,100101,,pedestrian,796,810,15,0.5132,false,true,short_track_filter,track_duration_too_short,,7.6980
cao_qiao_001,moving_filtered,100103,22,motor,812,1313,424,0.5311,true,false,,,,225.2027
cao_qiao_001,moving_filtered,100106,23,motor,821,1363,481,0.5211,true,false,,,,250.6352
cao_qiao_001,moving_filtered,100111,,pedestrian,873,874,2,0.4328,false,true,short_track_filter,track_duration_too_short,,0.8656
cao_qiao_001,moving_filtered,100112,25,motor,909,1192,204,0.5298,true,false,,,,108.0760
cao_qiao_001,moving_filtered,100116,,pedestrian,950,952,3,0.3833,false,true,short_track_filter,track_duration_too_short,,1.1500
cao_qiao_001,moving_filtered,100119,,pedestrian,976,1013,10,0.4649,false,true,missing_ratio_filter,missing_ratio_exceeded,,4.6493
cao_qiao_001,moving_filtered,100124,,pedestrian,1088,1088,1,0.3753,false,true,short_track_filter,track_duration_too_short,,0.3753
cao_qiao_001,moving_filtered,100126,,motor,1104,1676,320,0.4996,false,true,missing_ratio_filter,missing_ratio_exceeded,,159.8593
cao_qiao_001,moving_filtered,100130,,motor,1146,1203,38,0.4445,false,true,short_track_filter,track_duration_too_short,,16.8901
cao_qiao_001,moving_filtered,100142,,motor,1330,1377,24,0.4141,false,true,missing_ratio_filter,missing_ratio_exceeded,,9.9375
cao_qiao_001,moving_filtered,100143,,motor,1335,1565,203,0.5891,false,true,fragmentation_filter,suspected_id_fragmentation_drop_all_related_tracklets,fg_0001,119.5862
cao_qiao_001,moving_filtered,100150,32,motor,1437,1594,120,0.4955,true,false,,,,59.4623
cao_qiao_001,moving_filtered,100162,,motor,1648,1650,3,0.4941,false,true,short_track_filter,track_duration_too_short,,1.4824
cao_qiao_001,moving_filtered,100163,,motor,1643,1891,225,0.4967,false,true,fragmentation_filter,suspected_id_fragmentation_drop_all_related_tracklets,fg_0001,111.7542
cao_qiao_001,moving_filtered,100176,34,motor,1665,2067,300,0.5440,true,false,,,,163.1858
cao_qiao_001,moving_filtered,100181,,pedestrian,1698,1717,4,0.4184,false,true,missing_ratio_filter,missing_ratio_exceeded,,1.6736
cao_qiao_001,moving_filtered,100183,36,motor,1737,2084,262,0.4823,true,false,,,,126.3671
cao_qiao_001,moving_filtered,100185,,pedestrian,1789,1799,3,0.4362,false,true,missing_ratio_filter,missing_ratio_exceeded,,1.3085
cao_qiao_001,moving_filtered,100191,,pedestrian,1924,1924,1,0.4553,false,true,short_track_filter,track_duration_too_short,,0.4553
cao_qiao_001,moving_filtered,100194,,motor,1986,2068,28,0.4176,false,true,missing_ratio_filter,missing_ratio_exceeded,,11.6925
cao_qiao_001,moving_filtered,100200,,pedestrian,2171,2171,1,0.3625,false,true,short_track_filter,track_duration_too_short,,0.3625
cao_qiao_001,moving_filtered,100202,,pedestrian,2181,2182,2,0.4624,false,true,short_track_filter,track_duration_too_short,,0.9248
cao_qiao_001,moving_filtered,100203,,pedestrian,2204,2207,4,0.4035,false,true,short_track_filter,track_duration_too_short,,1.6141
cao_qiao_001,moving_filtered,100209,37,motor,2265,2900,611,0.6112,true,false,,,,373.4154
