dataset_id,object_id,class_name,start_frame,end_frame,total_frames,mean_confidence,start_cx,start_cy,end_cx,end_cy,displacement,path_length,mean_speed,max_speed,static_ratio,is_static,filter_reason
cao_qiao_001,385,car,4739,5623,885,0.766863,2091.705566,2127.150391,692.700821,40.269858,2512.426045,3460.227218,3.914284,6.567243,0.001131,False,
cao_qiao_001,386,car,4745,5119,375,0.775703,313.959625,57.940452,1562.611969,2133.357666,2422.083666,2478.865856,6.627984,8.963597,0.000000,False,
cao_qiao_001,387,car,4772,5527,756,0.743592,271.347725,51.257114,3369.322144,103.071182,3098.407687,4748.041729,6.288797,10.057717,0.000000,False,
cao_qiao_001,395,car,4894,6047,1154,0.764459,2170.064819,2127.219727,772.956116,43.709732,2508.570635,3363.562266,2.917227,6.755634,0.144840,False,
cao_qiao_001,402,car,4927,5976,1050,0.756522,336.943787,53.960480,3288.316772,96.129515,2951.674225,4682.955742,4.464209,8.445627,0.000000,False,
cao_qiao_001,409,car,4979,5060,40,0.422394,1266.857239,263.939178,1127.135468,211.996414,149.064497,154.542928,1.812203,2.932044,0.256410,False,
cao_qiao_001,412,car,5007,5417,411,0.782817,348.106720,51.343674,1568.794159,2130.692200,2411.175671,2464.150723,6.010124,8.870141,0.000000,False,
cao_qiao_001,413,car,5012,5768,757,0.734564,2146.127441,2120.392456,717.231903,43.893830,2520.632660,3385.663142,4.478390,12.017235,0.083333,False,
cao_qiao_001,434,car,5175,5176,2,0.455344,2583.917053,1402.635773,2583.883179,1402.066101,0.570678,0.570678,0.570678,0.570678,1.000000,False,
cao_qiao_001,438,truck,5222,5898,677,0.606278,2916.109436,96.145797,1607.554077,2098.737457,2392.214557,3244.965089,4.800244,11.705752,0.019231,False,
cao_qiao_001,454,car,5387,6162,776,0.756229,271.162506,47.084362,1530.614014,2126.766968,2431.316072,2576.220001,3.324155,7.869910,0.029677,False,
cao_qiao_001,456,car,5404,5778,108,0.499095,2532.945190,844.041046,2067.123383,382.997986,655.401144,685.753317,1.882905,4.541819,0.355140,False,
cao_qiao_001,458,car,5445,5455,6,0.341853,2671.018066,204.473450,2642.879822,218.003326,31.222082,32.799992,3.219635,3.757727,0.000000,False,
cao_qiao_001,461,car,5474,6013,540,0.711113,278.448830,50.117481,1540.818848,2119.412659,2423.955568,2524.497609,4.683669,11.959873,0.001855,False,
cao_qiao_001,467,car,5512,6398,887,0.728480,397.118713,54.097348,3394.223022,106.907831,2997.569547,4685.441963,5.288309,9.562584,0.001129,False,
cao_qiao_001,471,car,5593,6079,487,0.748183,2165.765137,2127.116028,3390.043945,99.754166,2368.344300,2419.129763,4.977633,7.823284,0.006173,False,
cao_qiao_001,473,car,5602,6070,469,0.688328,312.531677,54.819182,1597.312988,2123.302307,2435.012414,2518.166923,5.380699,10.694969,0.010684,False,
cao_qiao_001,482,car,5748,6258,511,0.752265,288.323486,54.386879,1541.143127,2129.904297,2424.320442,2508.458244,4.918546,7.940712,0.003922,False,
cao_qiao_001,489,car,5817,6504,688,0.769441,2134.911072,2122.625977,713.575806,40.640522,2520.884244,3363.376425,4.895744,7.750261,0.001456,False,
cao_qiao_001,490,car,5857,6234,378,0.720345,298.855408,61.608669,1607.963257,2130.106384,2447.947336,2513.000086,6.665783,11.300947,0.000000,False,
cao_qiao_001,492,car,5864,5869,2,0.453938,1826.112839,363.691822,1811.860121,363.713148,14.252734,14.252734,2.850547,2.850547,0.000000,False,
cao_qiao_001,505,car,5943,5944,2,0.326779,966.237366,485.959869,966.177719,485.992393,0.067938,0.067938,0.067938,0.067938,1.000000,False,
cao_qiao_001,507,car,5957,6414,458,0.701074,3011.975342,89.314270,1604.439819,2123.342468,2473.545423,3251.338328,7.114526,12.434581,0.002188,False,
cao_qiao_001,511,truck,6008,6391,378,0.638900,327.010712,79.014791,1534.275574,2105.557495,2358.890370,2438.754467,6.375825,12.119020,0.005305,False,
cao_qiao_001,512,car,6010,6253,87,0.412696,1408.414307,325.298714,733.782776,26.393863,737.883332,747.874201,3.065563,6.757128,0.151163,False,
cao_qiao_001,517,car,6059,6406,348,0.741578,2966.448364,89.615234,661.114502,39.875621,2305.870388,2451.207422,7.063998,11.888328,0.000000,False,
cao_qiao_001,526,car,6128,6629,502,0.727111,284.489498,53.849109,1561.937622,2133.328857,2440.514236,2513.915734,5.017796,9.101756,0.000000,False,
cao_qiao_001,527,van,6130,6558,429,0.762587,3050.262573,85.788835,713.243896,50.985009,2337.277819,2495.301227,5.830143,10.029859,0.002336,False,
