dataset_id,frame_id,timestamp,width,height,num_objects,output_frame
cao_qiao_001,300,10.010010,3840,2160,6,300
cao_qiao_001,301,10.043377,3840,2160,6,301
cao_qiao_001,302,10.076743,3840,2160,7,302
cao_qiao_001,303,10.110110,3840,2160,7,303
cao_qiao_001,304,10.143477,3840,2160,7,304
cao_qiao_001,305,10.176844,3840,2160,6,305
cao_qiao_001,306,10.210210,3840,2160,6,306
cao_qiao_001,307,10.243577,3840,2160,6,307
cao_qiao_001,308,10.276944,3840,2160,5,308
cao_qiao_001,309,10.310310,3840,2160,5,309
cao_qiao_001,310,10.343677,3840,2160,5,310
cao_qiao_001,311,10.377044,3840,2160,5,311
cao_qiao_001,312,10.410410,3840,2160,5,312
cao_qiao_001,313,10.443777,3840,2160,6,313
cao_qiao_001,314,10.477144,3840,2160,5,314
cao_qiao_001,315,10.510511,3840,2160,5,315
cao_qiao_001,316,10.543877,3840,2160,6,316
cao_qiao_001,317,10.577244,3840,2160,6,317
cao_qiao_001,318,10.610611,3840,2160,6,318
cao_qiao_001,319,10.643977,3840,2160,6,319
cao_qiao_001,320,10.677344,3840,2160,5,320
cao_qiao_001,321,10.710711,3840,2160,5,321
cao_qiao_001,322,10.744077,3840,2160,5,322
cao_qiao_001,323,10.777444,3840,2160,5,323
cao_qiao_001,324,10.810811,3840,2160,5,324
cao_qiao_001,325,10.844178,3840,2160,6,325
cao_qiao_001,326,10.877544,3840,2160,7,326
cao_qiao_001,327,10.910911,3840,2160,7,327
cao_qiao_001,328,10.944278,3840,2160,6,328
cao_qiao_001,329,10.977644,3840,2160,6,329
cao_qiao_001,330,11.011011,3840,2160,6,330
cao_qiao_001,331,11.044378,3840,2160,6,331
cao_qiao_001,332,11.077744,3840,2160,6,332
cao_qiao_001,333,11.111111,3840,2160,5,333
cao_qiao_001,334,11.144478,3840,2160,5,334
cao_qiao_001,335,11.177845,3840,2160,4,335
cao_qiao_001,336,11.211211,3840,2160,4,336
cao_qiao_001,337,11.244578,3840,2160,4,337
cao_qiao_001,338,11.277945,3840,2160,5,338
cao_qiao_001,339,11.311311,3840,2160,6,339
cao_qiao_001,340,11.344678,3840,2160,7,340
cao_qiao_001,341,11.378045,3840,2160,8,341
cao_qiao_001,342,11.411411,3840,2160,7,342
cao_qiao_001,343,11.444778,3840,2160,7,343
