dataset_id,version,raw_object_id,filter_type,filter_reason,fragmentation_group_id,related_raw_object_ids,fragmentation_score,quality_score,start_frame,end_frame,total_frames,class_name_mode
cao_qiao_001,full,100459,short_track_filter,track_duration_too_short,,,,3.0059,5458,5463,6,motor
cao_qiao_001,full,100460,short_track_filter,track_duration_too_short,,,,1.2163,5460,5462,3,motor
cao_qiao_001,full,100466,missing_ratio_filter,missing_ratio_exceeded,,,,5.8725,5517,5545,14,motor
cao_qiao_001,full,100470,missing_ratio_filter,missing_ratio_exceeded,,,,30.0675,5599,5826,68,motor
cao_qiao_001,full,100472,short_track_filter,track_duration_too_short,,,,19.2579,5598,5648,41,pedestrian
cao_qiao_001,full,100478,missing_ratio_filter,missing_ratio_exceeded,,,,12.7663,5703,5793,29,motor
cao_qiao_001,full,100480,missing_ratio_filter,missing_ratio_exceeded,,,,88.2152,5724,6047,187,tricycle
cao_qiao_001,full,100484,missing_ratio_filter,missing_ratio_exceeded,,,,1.2275,5763,5773,3,people
cao_qiao_001,full,100485,missing_ratio_filter,missing_ratio_exceeded,,,,4.8688,5765,5857,11,pedestrian
cao_qiao_001,full,100491,short_track_filter,track_duration_too_short,,,,0.5362,5859,5859,1,pedestrian
cao_qiao_001,full,100497,missing_ratio_filter,missing_ratio_exceeded,,,,16.9201,5941,6029,38,motor
cao_qiao_001,full,100506,missing_ratio_filter,missing_ratio_exceeded,,,,13.0822,5962,6041,29,pedestrian
cao_qiao_001,full,100525,missing_ratio_filter,missing_ratio_exceeded,,,,20.2422,6112,6243,45,pedestrian
cao_qiao_001,full,100528,missing_ratio_filter,missing_ratio_exceeded,,,,10.7409,6189,6259,20,motor
cao_qiao_001,full,100529,missing_ratio_filter,missing_ratio_exceeded,,,,51.6106,6147,6296,87,motor
cao_qiao_001,full,100543,missing_ratio_filter,missing_ratio_exceeded,,,,13.2808,6335,6492,30,pedestrian
cao_qiao_001,full,100547,short_track_filter,track_duration_too_short,,,,1.2144,6376,6378,3,motor
cao_qiao_001,full,100551,missing_ratio_filter,missing_ratio_exceeded,,,,4.1046,6440,6458,7,pedestrian
cao_qiao_001,full,100552,missing_ratio_filter,missing_ratio_exceeded,,,,1.9428,6459,6514,5,pedestrian
cao_qiao_001,full,100554,short_track_filter,track_duration_too_short,,,,16.8255,6500,6556,39,motor
cao_qiao_001,full,100557,missing_ratio_filter,missing_ratio_exceeded,,,,7.7503,6532,6587,16,pedestrian
cao_qiao_001,full,100561,missing_ratio_filter,missing_ratio_exceeded,,,,4.8571,6576,6626,12,motor
cao_qiao_001,full,100562,missing_ratio_filter,missing_ratio_exceeded,,,,15.2156,6591,6688,34,motor
cao_qiao_001,full,100572,missing_ratio_filter,missing_ratio_exceeded,,,,3.6615,6759,6777,8,pedestrian
cao_qiao_001,full,100580,missing_ratio_filter,missing_ratio_exceeded,,,,32.3443,6965,7204,69,motor
cao_qiao_001,full,100596,short_track_filter,track_duration_too_short,,,,0.4082,7180,7180,1,pedestrian
cao_qiao_001,full,100598,short_track_filter,track_duration_too_short,,,,0.7764,7205,7206,2,pedestrian
cao_qiao_001,full,100599,missing_ratio_filter,missing_ratio_exceeded,,,,50.3622,7248,7466,106,motor
cao_qiao_001,full,100602,missing_ratio_filter,missing_ratio_exceeded,,,,1.9561,7283,7298,5,motor
cao_qiao_001,full,100613,short_track_filter,track_duration_too_short,,,,0.3822,7354,7354,1,pedestrian
cao_qiao_001,full,100623,missing_ratio_filter,missing_ratio_exceeded,,,,29.1383,7430,7574,62,pedestrian
cao_qiao_001,full,100628,short_track_filter,track_duration_too_short,,,,0.4174,7472,7472,1,motor
cao_qiao_001,full,100636,missing_ratio_filter,missing_ratio_exceeded,,,,2.9788,7515,7549,7,pedestrian
cao_qiao_001,full,100645,missing_ratio_filter,missing_ratio_exceeded,,,,9.8276,7582,7675,23,pedestrian
cao_qiao_001,full,100657,missing_ratio_filter,missing_ratio_exceeded,,,,17.9350,7696,7748,27,pedestrian
cao_qiao_001,full,100658,short_track_filter,track_duration_too_short,,,,0.4303,7660,7660,1,motor
cao_qiao_001,full,100661,short_track_filter,track_duration_too_short,,,,1.2696,7691,7693,3,tricycle
cao_qiao_001,full,100664,short_track_filter,track_duration_too_short,,,,1.2824,7701,7702,2,pedestrian
cao_qiao_001,full,100667,short_track_filter,track_duration_too_short,,,,0.5319,7730,7730,1,pedestrian
cao_qiao_001,full,100674,short_track_filter,track_duration_too_short,,,,20.4844,7768,7828,43,motor
cao_qiao_001,full,100676,missing_ratio_filter,missing_ratio_exceeded,,,,33.6248,7768,7992,68,motor
cao_qiao_001,full,100677,short_track_filter,track_duration_too_short,,,,1.6744,7776,7778,3,pedestrian
cao_qiao_001,full,100679,short_track_filter,track_duration_too_short,,,,55.7138,7811,7954,104,motor
cao_qiao_001,full,100680,missing_ratio_filter,missing_ratio_exceeded,,,,14.7751,7840,8018,35,pedestrian
cao_qiao_001,full,100681,short_track_filter,track_duration_too_short,,,,0.3631,7846,7846,1,people
cao_qiao_001,full,100682,short_track_filter,track_duration_too_short,,,,1.7657,7848,7851,4,motor
cao_qiao_001,full,100692,short_track_filter,track_duration_too_short,,,,17.0457,7910,7955,35,motor
cao_qiao_001,full,100704,missing_ratio_filter,missing_ratio_exceeded,,,,0.8549,7963,7971,2,pedestrian
cao_qiao_001,full,100705,short_track_filter,track_duration_too_short,,,,1.3119,7965,7967,3,motor
cao_qiao_001,full,100706,missing_ratio_filter,missing_ratio_exceeded,,,,28.8277,7987,8123,67,pedestrian
cao_qiao_001,full,100708,missing_ratio_filter,missing_ratio_exceeded,,,,6.8787,7972,8089,17,tricycle
cao_qiao_001,full,100712,missing_ratio_filter,missing_ratio_exceeded,,,,18.3215,8017,8085,38,motor
cao_qiao_001,full,100716,missing_ratio_filter,missing_ratio_exceeded,,,,13.4889,8072,8344,30,motor
cao_qiao_001,full,100723,missing_ratio_filter,missing_ratio_exceeded,,,,20.1543,8173,8312,47,pedestrian
cao_qiao_001,full,100724,missing_ratio_filter,missing_ratio_exceeded,,,,1.6888,8163,8169,4,tricycle
cao_qiao_001,full,100734,missing_ratio_filter,missing_ratio_exceeded,,,,1.0956,8244,8249,3,people
cao_qiao_001,full,100742,missing_ratio_filter,missing_ratio_exceeded,,,,4.2773,8391,8437,11,motor
cao_qiao_001,full,100743,missing_ratio_filter,missing_ratio_exceeded,,,,77.8987,8386,8809,167,pedestrian
cao_qiao_001,full,100744,short_track_filter,track_duration_too_short,,,,0.4101,8427,8427,1,pedestrian
cao_qiao_001,full,100756,short_track_filter,track_duration_too_short,,,,2.0944,8451,8455,5,motor
cao_qiao_001,full,100761,short_track_filter,track_duration_too_short,,,,0.8955,8501,8502,2,pedestrian
cao_qiao_001,full,100763,short_track_filter,track_duration_too_short,,,,0.5331,8560,8560,1,pedestrian
cao_qiao_001,full,100768,short_track_filter,track_duration_too_short,,,,0.3686,8608,8608,1,people
cao_qiao_001,full,100770,missing_ratio_filter,missing_ratio_exceeded,,,,116.8624,8597,9021,198,motor
cao_qiao_001,full,100775,short_track_filter,track_duration_too_short,,,,0.3913,8659,8659,1,pedestrian
cao_qiao_001,full,100776,short_track_filter,track_duration_too_short,,,,0.3963,8691,8691,1,pedestrian
cao_qiao_001,full,100785,missing_ratio_filter,missing_ratio_exceeded,,,,40.9269,8708,8964,97,motor
cao_qiao_001,full,100792,short_track_filter,track_duration_too_short,,,,1.1542,8770,8772,3,motor
cao_qiao_001,full,100794,missing_ratio_filter,missing_ratio_exceeded,,,,8.8871,8815,8876,20,pedestrian
cao_qiao_001,full,100799,short_track_filter,track_duration_too_short,,,,0.7575,8912,8913,2,pedestrian
cao_qiao_001,full,100800,missing_ratio_filter,missing_ratio_exceeded,,,,5.3962,8861,8884,9,pedestrian
cao_qiao_001,full,100805,missing_ratio_filter,missing_ratio_exceeded,,,,9.6524,8967,9018,22,pedestrian
cao_qiao_001,full,100807,short_track_filter,track_duration_too_short,,,,1.4538,8980,8982,3,pedestrian
